title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq2471;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	0
Uniq2603;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	0
Uniq2971;size=1;	Uniq0022;size=40;	NOISY VARIANT	2	0	1
Uniq3094;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	2	0
Uniq3574;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	0	0
Uniq3713;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	4	1
Uniq3900;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	4	1
Uniq4052;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	2	0
Uniq4263;size=1;	Uniq0022;size=40;	NOISY VARIANT	1	3	0
Uniq4613;size=1;	Uniq0022;size=40;	NOISY VARIANT	1	3	0
Uniq4698;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	0
Uniq4947;size=1;	Uniq0022;size=40;	NOISY VARIANT	4	0	0
Uniq5298;size=1;	Uniq0022;size=40;	NOISY VARIANT	2	2	0
Uniq5614;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	0
Uniq5761;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	1
Uniq5812;size=1;	Uniq0022;size=40;	NOISY VARIANT	2	4	0
Uniq5871;size=1;	Uniq0022;size=40;	NOISY VARIANT	3	3	0
Uniq5878;size=1;	Uniq0022;size=40;	NOISY VARIANT	1	3	0
Uniq5904;size=1;	Uniq0022;size=40;	NOISY VARIANT	2	2	0
Uniq0022;size=40;	*	VARIANT	*	*	*
Uniq0563;size=4;	Uniq0023;size=35;	NOISY VARIANT	3	3	1
Uniq1639;size=1;	Uniq0023;size=35;	NOISY VARIANT	3	3	0
Uniq2419;size=1;	Uniq0023;size=35;	NOISY VARIANT	2	4	0
Uniq2477;size=1;	Uniq0023;size=35;	NOISY VARIANT	4	0	0
Uniq2525;size=1;	Uniq0023;size=35;	NOISY VARIANT	3	3	0
Uniq2572;size=1;	Uniq0023;size=35;	NOISY VARIANT	3	3	1
Uniq2592;size=1;	Uniq0023;size=35;	NOISY VARIANT	3	3	0
Uniq3069;size=1;	Uniq0023;size=35;	NOISY VARIANT	1	3	1
Uniq4183;size=1;	Uniq0023;size=35;	NOISY VARIANT	4	4	1
Uniq4192;size=1;	Uniq0023;size=35;	NOISY VARIANT	4	2	0
Uniq5078;size=1;	Uniq0023;size=35;	NOISY VARIANT	2	0	1
Uniq5429;size=1;	Uniq0023;size=35;	NOISY VARIANT	4	2	1
Uniq5541;size=1;	Uniq0023;size=35;	NOISY VARIANT	3	3	0
